,Bundesland,confirmed,confirmed_el,extra,date,deaths
0,Baden-Württemberg,454,331 (1),,2020-03-12,1
1,Bayern,500,317,,2020-03-12,1
2,Berlin,137,137,,2020-03-12,0
3,Brandenburg,30,23,,2020-03-12,0
4,Bremen,38,35,,2020-03-12,0
5,Hamburg,88,60,,2020-03-12,0
6,Hessen,99,59,,2020-03-12,0
7,Mecklenburg-Vorpommern,23,16,,2020-03-12,0
8,Niedersachsen,129,81,,2020-03-12,0
9,Nordrhein-Westfalen,688,688 (2),Landkreis Heinsberg,2020-03-12,3
10,Rheinland-Pfalz,52,52,,2020-03-12,0
11,Saarland,14,8,,2020-03-12,0
12,Sachsen,45,30,,2020-03-12,0
13,Sachsen-Anhalt,27,14,,2020-03-12,0
14,Schleswig-Holstein,31,29,,2020-03-12,0
15,Thüringen,14,12,,2020-03-12,0
16,Gesamt,2.369,1.892 (3),,2020-03-12,5
0,Baden-Württemberg,277,,,2020-03-11,0
1,Bayern,366,,,2020-03-11,0
2,Berlin,90,,,2020-03-11,0
3,Brandenburg,24,,,2020-03-11,0
4,Bremen,21,,,2020-03-11,0
5,Hamburg,48,,,2020-03-11,0
6,Hessen,48,,,2020-03-11,0
7,Mecklenburg-Vorpommern,17,,,2020-03-11,0
8,Niedersachsen,75,,,2020-03-11,0
9,Nordrhein-Westfalen,484,,Landkreis Heinsberg,2020-03-11,0
10,Rheinland-Pfalz,25,,,2020-03-11,0
11,Saarland,14,,,2020-03-11,0
12,Sachsen,26,,,2020-03-11,0
13,Sachsen-Anhalt,15,,,2020-03-11,0
14,Schleswig-Holstein,27,,,2020-03-11,0
15,Thüringen,10,,,2020-03-11,0
16,Gesamt,1,,,2020-03-11,0
0,Baden-Württemberg,237,,,2020-03-10,0
1,Bayern,314,,,2020-03-10,0
2,Berlin,48,,,2020-03-10,0
3,Brandenburg,9,,,2020-03-10,0
4,Bremen,4,,,2020-03-10,0
5,Hamburg,29,,,2020-03-10,0
6,Hessen,35,,,2020-03-10,0
7,Mecklenburg-Vorpommern,13,,,2020-03-10,0
8,Niedersachsen,49,,,2020-03-10,0
9,Nordrhein-Westfalen,484,,Landkreis Heinsberg,2020-03-10,0
10,Rheinland-Pfalz,25,,,2020-03-10,0
11,Saarland,7,,,2020-03-10,0
12,Sachsen,22,,,2020-03-10,0
13,Sachsen-Anhalt,7,,,2020-03-10,0
14,Schleswig-Holstein,9,,,2020-03-10,0
