,Bundesland,confirmed,confirmed_el,extra,date
0,Baden-Württemberg,454 (1),401 (1),,2020-03-14
1,Bayern,558 (1),412,,2020-03-14
2,Berlin,174,174,,2020-03-14
3,Brandenburg,44,44,,2020-03-14
4,Bremen,42,42,,2020-03-14
5,Hamburg,99,99,,2020-03-14
6,Hessen,148,94,,2020-03-14
7,Mecklenburg-Vorpommern,33,21,,2020-03-14
8,Niedersachsen,230,134,,2020-03-14
9,Nordrhein-Westfalen,936 (3),887 (3),Landkreis Heinsberg,2020-03-14
10,Rheinland-Pfalz,102,102,,2020-03-14
11,Saarland,40,30,,2020-03-14
12,Sachsen,83,46,,2020-03-14
13,Sachsen-Anhalt,42,29,,2020-03-14
14,Schleswig-Holstein,48,45,,2020-03-14
15,Thüringen,29,16,,2020-03-14
16,Gesamt,3.062 (5),2.576 (4),,2020-03-14
