,Unnamed: 0,Bundesland,confirmed,confirmed_el,extra,date,deaths
0,0,Baden-Württemberg,454,331 (1),,2020-03-12,1
1,1,Bayern,500,317,,2020-03-12,1
2,2,Berlin,137,137,,2020-03-12,0
3,3,Brandenburg,30,23,,2020-03-12,0
4,4,Bremen,38,35,,2020-03-12,0
5,5,Hamburg,88,60,,2020-03-12,0
6,6,Hessen,99,59,,2020-03-12,0
7,7,Mecklenburg-Vorpommern,23,16,,2020-03-12,0
8,8,Niedersachsen,129,81,,2020-03-12,0
9,9,Nordrhein-Westfalen,688,688 (2),Landkreis Heinsberg,2020-03-12,3
10,10,Rheinland-Pfalz,52,52,,2020-03-12,0
11,11,Saarland,14,8,,2020-03-12,0
12,12,Sachsen,45,30,,2020-03-12,0
13,13,Sachsen-Anhalt,27,14,,2020-03-12,0
14,14,Schleswig-Holstein,31,29,,2020-03-12,0
15,15,Thüringen,14,12,,2020-03-12,0
16,16,Gesamt,2.369,1.892 (3),,2020-03-12,5
17,0,Baden-Württemberg,277,,,2020-03-11,0
18,1,Bayern,366,,,2020-03-11,0
19,2,Berlin,90,,,2020-03-11,0
20,3,Brandenburg,24,,,2020-03-11,0
21,4,Bremen,21,,,2020-03-11,0
22,5,Hamburg,48,,,2020-03-11,0
23,6,Hessen,48,,,2020-03-11,0
24,7,Mecklenburg-Vorpommern,17,,,2020-03-11,0
25,8,Niedersachsen,75,,,2020-03-11,0
26,9,Nordrhein-Westfalen,484,,Landkreis Heinsberg,2020-03-11,0
27,10,Rheinland-Pfalz,25,,,2020-03-11,0
28,11,Saarland,14,,,2020-03-11,0
29,12,Sachsen,26,,,2020-03-11,0
30,13,Sachsen-Anhalt,15,,,2020-03-11,0
31,14,Schleswig-Holstein,27,,,2020-03-11,0
32,15,Thüringen,10,,,2020-03-11,0
33,16,Gesamt,1,,,2020-03-11,0
34,0,Baden-Württemberg,237,,,2020-03-10,0
35,1,Bayern,314,,,2020-03-10,0
36,2,Berlin,48,,,2020-03-10,0
37,3,Brandenburg,9,,,2020-03-10,0
38,4,Bremen,4,,,2020-03-10,0
39,5,Hamburg,29,,,2020-03-10,0
40,6,Hessen,35,,,2020-03-10,0
41,7,Mecklenburg-Vorpommern,13,,,2020-03-10,0
42,8,Niedersachsen,49,,,2020-03-10,0
43,9,Nordrhein-Westfalen,484,,Landkreis Heinsberg,2020-03-10,0
44,10,Rheinland-Pfalz,25,,,2020-03-10,0
45,11,Saarland,7,,,2020-03-10,0
46,12,Sachsen,22,,,2020-03-10,0
47,13,Sachsen-Anhalt,7,,,2020-03-10,0
48,14,Schleswig-Holstein,9,,,2020-03-10,0
49,15,Thüringen,4,,,2020-03-10,0
50,16,Gesamt,1,,,2020-03-10,0
51,0,Baden-Württemberg,204,,,2020-03-09,0
52,1,Bayern,256,,,2020-03-09,0
53,2,Berlin,48,,,2020-03-09,0
54,3,Brandenburg,6,,,2020-03-09,0
55,4,Bremen,4,,,2020-03-09,0
56,5,Hamburg,17,,,2020-03-09,0
57,6,Hessen,26,,,2020-03-09,0
58,7,Mecklenburg-Vorpommern,10,,,2020-03-09,0
59,8,Niedersachsen,38,,,2020-03-09,0
60,9,Nordrhein-Westfalen,484,,Landkreis Heinsberg,2020-03-09,0
61,10,Rheinland-Pfalz,17,,,2020-03-09,0
62,11,Saarland,6,,,2020-03-09,0
63,12,Sachsen,12,,,2020-03-09,0
64,13,Schleswig-Holstein,9,,,2020-03-09,0
65,14,Thüringen,2,,,2020-03-09,0
66,15,Gesamt,1139,,,2020-03-09,0
67,0,Baden-Württemberg,182,,,2020-03-08,0
68,1,Bayern,172,,,2020-03-08,0
69,2,Berlin,40,,,2020-03-08,0
70,3,Brandenburg,4,,,2020-03-08,0
71,4,Bremen,4,,,2020-03-08,0
72,5,Hamburg,13,,,2020-03-08,0
73,6,Hessen,19,,,2020-03-08,0
74,7,Mecklenburg-Vorpommern,8,,,2020-03-08,0
75,8,Niedersachsen,21,,,2020-03-08,0
76,9,Nordrhein-Westfalen,398,,Landkreis Heinsberg,2020-03-08,0
77,10,Rheinland-Pfalz,19,,,2020-03-08,0
78,11,Saarland,4,,,2020-03-08,0
79,12,Sachsen,7,,,2020-03-08,0
80,13,Schleswig Holstein,9,,,2020-03-08,0
81,14,Thüringen,2,,,2020-03-08,0
82,15,Gesamt,902,,,2020-03-08,0
83,0,Baden-Württemberg,170,,,2020-03-07,0
84,1,Bayern,134,,,2020-03-07,0
85,2,Berlin,28,,,2020-03-07,0
86,3,Brandenburg,2,,,2020-03-07,0
87,4,Bremen,4,,,2020-03-07,0
88,5,Hamburg,13,,,2020-03-07,0
89,6,Hessen,17,,,2020-03-07,0
90,7,Mecklenburg-Vorpommern,5,,,2020-03-07,0
91,8,Niedersachsen,19,,,2020-03-07,0
92,9,Nordrhein-Westfalen,373,,Landkreis Heinsberg,2020-03-07,0
93,10,Rheinland-Pfalz,13,,,2020-03-07,0
94,11,Saarland,3,,,2020-03-07,0
95,12,Sachsen,4,,,2020-03-07,0
96,13,Schleswig Holstein,8,,,2020-03-07,0
97,14,Thüringen,2,,,2020-03-07,0
98,15,Gesamt,795,,,2020-03-07,0
99,0,Baden-Württemberg,96,,,2020-03-06,0
100,1,Bayern,117,,,2020-03-06,0
101,2,Berlin,19,,,2020-03-06,0
102,3,Brandenburg,2,,,2020-03-06,0
103,4,Bremen,4,,,2020-03-06,0
104,5,Hamburg,11,,,2020-03-06,0
105,6,Hessen,16,,,2020-03-06,0
106,7,Mecklenburg-Vorpommern,5,,,2020-03-06,0
107,8,Niedersachsen,18,,,2020-03-06,0
108,9,Nordrhein-Westfalen,329,,Landkreis Heinsberg,2020-03-06,0
109,10,Rheinland-Pfalz,10,,,2020-03-06,0
110,11,Saarland,2,,,2020-03-06,0
111,12,Sachsen,2,,,2020-03-06,0
112,13,Schleswig Holstein,7,,,2020-03-06,0
113,14,Thüringen,1,,,2020-03-06,0
114,15,Gesamt,639,,,2020-03-06,0
115,0,Baden-Württemberg,73,,,2020-03-05,0
116,1,Bayern,70,,,2020-03-05,0
117,2,Berlin,13,,,2020-03-05,0
118,3,Brandenburg,1,,,2020-03-05,0
119,4,Bremen,3,,,2020-03-05,0
120,5,Hamburg,5,,,2020-03-05,0
121,6,Hessen,14,,,2020-03-05,0
122,7,Mecklenburg-Vorpommern,4,,,2020-03-05,0
123,8,Niedersachsen,18,,,2020-03-05,0
124,9,Nordrhein-Westfalen,181,,,2020-03-05,0
125,10,Rheinland-Pfalz,8,,,2020-03-05,0
126,11,Saarland,1,,,2020-03-05,0
127,12,Sachsen,1,,,2020-03-05,0
128,13,Schleswig Holstein,7,,,2020-03-05,0
129,14,Thüringen,1,,,2020-03-05,0
130,15,Gesamt,400,,,2020-03-05,0
131,0,Baden-Württemberg,50,,,2020-03-04,0
132,1,Bayern,48,,,2020-03-04,0
133,2,Berlin,7,,,2020-03-04,0
134,3,Brandenburg,1,,,2020-03-04,0
135,4,Bremen,3,,,2020-03-04,0
136,5,Hamburg,3,,,2020-03-04,0
137,6,Hessen,12,,,2020-03-04,0
138,7,Mecklenburg-Vorpommern,4,,,2020-03-04,0
139,8,Niedersachsen,7,,,2020-03-04,0
140,9,Nordrhein-Westfalen,115,,,2020-03-04,0
141,10,Rheinland-Pfalz,7,,,2020-03-04,0
142,11,Saarland,1,,,2020-03-04,0
143,12,Sachsen,1,,,2020-03-04,0
144,13,Schleswig Holstein,2,,,2020-03-04,0
145,14,Thüringen,1,,,2020-03-04,0
146,15,Gesamt,262,,,2020-03-04,0
147,0,Baden-Württemberg,28,,,2020-03-03,0
148,1,Bayern,37,,,2020-03-03,0
149,2,Berlin,3,,,2020-03-03,0
150,3,Brandenburg,1,,,2020-03-03,0
151,4,Bremen,2,,,2020-03-03,0
152,5,Hamburg,2,,,2020-03-03,0
153,6,Hessen,12,,,2020-03-03,0
154,7,Niedersachsen,2,,,2020-03-03,0
155,8,Nordrhein-Westfalen,103,,,2020-03-03,0
156,9,Rheinland-Pfalz,2,,,2020-03-03,0
157,10,Sachsen,1,,,2020-03-03,0
158,11,Schleswig Holstein,2,,,2020-03-03,0
159,12,Thüringen,1,,,2020-03-03,0
160,13,Gesamt,196,,,2020-03-03,0
161,0,Bundesland,Fälle,,,2020-03-02,0
162,1,Baden-Württemberg,19,,,2020-03-02,0
163,2,Bayern,25,,,2020-03-02,0
164,3,Berlin,1,,,2020-03-02,0
