,Unnamed: 0,Bundesland,confirmed,confirmed_el,extra,date,deaths
0,0,Baden-Württemberg,569,506 (2),,2020-03-15 13:48:00,2
1,1,Bayern,681,605 (1),,2020-03-15 13:48:00,1
2,2,Berlin,216,216,,2020-03-15 13:48:00,
3,3,Brandenburg,61,57,,2020-03-15 13:48:00,
4,4,Bremen,50,50,,2020-03-15 13:48:00,
5,5,Hamburg,158,119,,2020-03-15 13:48:00,
6,6,Hessen,203,141,,2020-03-15 13:48:00,
7,7,Mecklenburg-Vorpommern,45,23,,2020-03-15 13:48:00,
8,8,Niedersachsen,253,187,,2020-03-15 13:48:00,
9,9,Nordrhein-Westfalen,1.154,1.154 (5),Landkreis Heinsberg,2020-03-15 13:48:00,5
10,10,Rheinland-Pfalz,121,121,,2020-03-15 13:48:00,
11,11,Saarland,40,31,,2020-03-15 13:48:00,
12,12,Sachsen,93,86,,2020-03-15 13:48:00,
13,13,Sachsen-Anhalt,45,40,,2020-03-15 13:48:00,
14,14,Schleswig-Holstein,60,54,,2020-03-15 13:48:00,
15,15,Thüringen,46,31,,2020-03-15 13:48:00,
16,16,Gesamt,3.795,3.421 (8),,2020-03-15 13:48:00,8
