,Bundesland,date,confirmed,deaths
0,Baden-Württem­berg,2020-03-23 12:00:00,3811,21.0
1,Bayern,2020-03-23 12:00:00,4892,26.0
2,Berlin,2020-03-23 12:00:00,1077,1.0
3,Brandenburg,2020-03-23 12:00:00,288,
4,Bremen,2020-03-23 12:00:00,170,
5,Hamburg,2020-03-23 12:00:00,943,
6,Hessen,2020-03-23 12:00:00,1347,3.0
7,Mecklenburg-Vor­pommern,2020-03-23 12:00:00,172,
8,Niedersachsen,2020-03-23 12:00:00,1483,4.0
9,Nordrhein-West­falen,2020-03-23 12:00:00,5615,28.0
10,Rhein­land-Pfalz,2020-03-23 12:00:00,1177,2.0
11,Saarland,2020-03-23 12:00:00,200,
12,Sachsen,2020-03-23 12:00:00,653,
13,Sachsen-Anhalt,2020-03-23 12:00:00,212,
14,Schles­wig-Holstein,2020-03-23 12:00:00,383,1.0
15,Thüringen,2020-03-23 12:00:00,249,
16,Gesamt,2020-03-23 12:00:00,22672,86.0
