,Bundesland,confirmed,confirmed_el,extra,date
0,Baden-Württemberg,454 (1),331 (1),,2020-03-13 14:32:00
1,Bayern,500 (1),317,,2020-03-13 14:32:00
2,Berlin,137,137,,2020-03-13 14:32:00
3,Brandenburg,30,23,,2020-03-13 14:32:00
4,Bremen,38,35,,2020-03-13 14:32:00
5,Hamburg,88,60,,2020-03-13 14:32:00
6,Hessen,99,59,,2020-03-13 14:32:00
7,Mecklenburg-Vorpommern,23,16,,2020-03-13 14:32:00
8,Niedersachsen,129,81,,2020-03-13 14:32:00
9,Nordrhein-Westfalen,688 (3),688 (2),Landkreis Heinsberg,2020-03-13 14:32:00
10,Rheinland-Pfalz,52,52,,2020-03-13 14:32:00
11,Saarland,14,8,,2020-03-13 14:32:00
12,Sachsen,45,30,,2020-03-13 14:32:00
13,Sachsen-Anhalt,27,14,,2020-03-13 14:32:00
14,Schleswig-Holstein,31,29,,2020-03-13 14:32:00
15,Thüringen,14,12,,2020-03-13 14:32:00
16,Gesamt,2.369 (5),1.892 (3),,2020-03-13 14:32:00
